,Dist Name,January,February,March,April,May,June,July,August,September,October,November,December,Unnamed: 0,STATE/UT,DISTRICT,avg kharif,avg rabi,summer avg,whole year avg
77,THRISSUR,24.27872758326217,30.645000000000003,31.385,30.64,30.58,30.07,26.85,29.04,28.035,26.98,30.295,28.515,634,KERALA,THRISSUR,498.7600000000001,82.35714285714286,273.175,255.25833333333333
78,JABALPUR,20.09,24.005000000000003,26.28,33.81,37.74,34.845,29.7,30.725,28.68,27.314999999999998,23.195,22.095,436,MADHYA PRADESH,JABALPUR,224.64000000000004,13.500000000000002,36.825,99.36666666666667
79,BALAGHAT,21.895,24.215,28.505,32.44,36.07,33.775,30.324999999999996,29.791219667943807,28.314999999999998,27.35481063829787,23.955,20.485,433,MADHYA PRADESH,BALAGHAT,278.2,20.04285714285714,53.35,123.4666666666667
80,CHHINDWARA,21.552269247128883,23.41,27.425,31.810000000000002,34.46687154402382,32.96,27.785,28.83,28.705,25.74,22.125,23.48,435,MADHYA PRADESH,CHHINDWARA,185.26,18.571428571428573,45.225,85.13333333333334
81,NARSINGHPUR,20.285,24.78,27.725,34.230000000000004,36.09187154402382,34.47678035178035,29.67,30.695,29.72,27.14,24.716232964224872,21.81,438,MADHYA PRADESH,NARSINGHPUR,219.42,10.471428571428572,31.725,95.53333333333336
82,MANDLA,19.845,24.382325085324233,26.669999999999998,32.315,35.01187154402382,33.595,29.225,27.87,28.645,25.58,21.555,20.455,437,MADHYA PRADESH,MANDLA,257.24,20.528571428571432,49.325,116.41666666666669
83,SAGAR,19.53,23.78,28.57,34.925,37.17,35.37,30.980000000000004,29.16,29.175,27.92,24.6,20.956538955479452,441,MADHYA PRADESH,SAGAR,224.28,13.885714285714286,36.725,99.34999999999998
84,DAMOH,20.560000000000002,24.325000000000003,28.564999999999998,34.465,36.33,36.57,30.925000000000004,30.64360331632653,30.085,26.97,23.5,21.185,450,MADHYA PRADESH,DAMOH,220.72,14.9,35.85,98.38333333333333
85,TIKAMGARH,20.075000000000003,22.625,26.405,35.97,38.185,33.81178035178035,31.564999999999998,30.565,32.03,27.695,25.60123296422487,20.53153895547945,446,MADHYA PRADESH,TIKAMGARH,176.52,11.485714285714284,23.5,78.20833333333333
86,CHHATARPUR,19.115000000000002,22.564999999999998,26.71383538396266,35.76,36.849999999999994,34.636780351780345,31.40580398812049,31.675,31.089999999999996,27.43,23.072847667950363,22.096538955479453,434,MADHYA PRADESH,CHHATARPUR,203.84000000000003,13.014285714285714,27.35,90.11666666666667
87,PANNA,18.675,23.72,27.83,33.8,35.67,36.975,29.51,30.155,30.005000000000003,28.4,23.555,19.325,439,MADHYA PRADESH,PANNA,220.7,13.642857142857142,31.775,97.64166666666668
88,REWA,18.725,23.14,27.155,33.135,36.339999999999996,36.5,31.805,31.645000000000003,31.835,29.815,24.345000000000002,21.310000000000002,440,MADHYA PRADESH,REWA,200.62,13.15714285714286,34.875,89.04166666666664
89,SIDHI,19.015,22.935000000000002,25.814999999999998,34.43,36.175,35.42,30.939999999999998,31.063603316326528,30.770000000000003,27.840000000000003,24.735,20.825,445,MADHYA PRADESH,SIDHI,210.38,14.457142857142856,38.375,93.91666666666669
90,SATNA,19.505,21.29,26.25,33.525,36.93,34.03,31.625,30.4,30.856692307692306,29.175,24.67,21.21153895547945,442,MADHYA PRADESH,SATNA,197.06,14.042857142857144,34.65,88.00833333333333
91,SHAHDOL,20.38,23.585,27.025,33.825,35.455,34.1758241056218,30.595,30.235,30.619999999999997,27.145000000000003,23.825000000000003,19.705000000000002,444,MADHYA PRADESH,SHAHDOL,205.23999999999995,15.357142857142858,37.1,92.49166666666666
92,GWALIOR,17.965,22.800431914893615,26.405,35.165,37.095,35.52,33.235,31.424999999999997,32.29,28.63,23.660000000000004,19.36,410,MADHYA PRADESH,GWALIOR,166.42000000000002,12.44285714285714,22.3,73.825
93,SHIVPURI,18.485,23.925,27.555,33.275,38.879999999999995,35.59,30.497079796264856,28.759999999999998,31.715,27.35,23.295,19.97394804088586,423,MADHYA PRADESH,SHIVPURI,162.32,10.385714285714284,20.825,71.61666666666667
94,GUNA,20.025,24.130000000000003,26.865,32.30050485847064,38.015,36.48,30.255,29.120000000000005,31.525000000000002,27.205,25.12623296422487,20.740000000000002,409,MADHYA PRADESH,GUNA,194.32,10.957142857142856,26.225,85.69166666666668
95,DATIA,18.525,21.545,25.915,35.995,37.464999999999996,38.915,31.637079796264857,30.535000000000004,31.025,28.595,24.26,19.075,406,MADHYA PRADESH,DATIA,163.12,11.114285714285716,19.3,71.68333333333332
96,MORENA,18.35,22.400000000000002,27.34,34.74,36.355000000000004,37.22,33.28,31.909999999999997,31.165,27.937888888888885,23.4,17.43,415,MADHYA PRADESH,MORENA,146.79999999999998,8.9,16.775000000000002,64.75
97,BHIND,17.759999999999998,21.33543191489362,27.205,35.75,35.52,35.755,32.41,32.705,31.895000000000003,28.162888888888887,23.365,19.435000000000002,405,MADHYA PRADESH,BHIND,145.0,10.471428571428572,16.425,63.61666666666665
98,INDORE,21.255,24.155,28.142238135955537,33.48,34.985,33.075,28.400000000000002,27.885,28.24,27.465000000000003,23.735,21.24894804088586,412,MADHYA PRADESH,INDORE,175.59999999999997,9.9,32.925000000000004,76.44166666666666
99,RATLAM,23.419999999999998,25.520000000000003,29.48,33.4,36.129999999999995,34.65,30.175000000000004,29.32,29.745,27.190000000000005,26.83,21.85,420,MADHYA PRADESH,RATLAM,182.48,10.2,28.275,78.98333333333333
100,UJJAIN,20.955,26.095,29.174999999999997,34.010000000000005,35.61,32.855000000000004,27.785,28.736219667943807,28.915,26.505000000000003,26.385,22.425,424,MADHYA PRADESH,UJJAIN,173.74,9.514285714285714,28.225,75.47500000000001
101,MANDSAUR,22.075,26.12,27.685,36.18,36.160000000000004,36.53,29.119999999999997,29.91,28.895000000000003,28.425,24.692847667950364,21.53,414,MADHYA PRADESH,MANDSAUR,163.16,9.499999999999998,23.25,70.84166666666665
102,DEWAS,21.965,24.975,27.113835383962662,36.47,37.18,34.72,31.005000000000003,28.82,29.115000000000002,28.69,25.97,22.810000000000002,407,MADHYA PRADESH,DEWAS,196.84,10.77142857142857,34.800000000000004,85.95
103,DHAR,21.89872758326217,26.375,30.854999999999997,34.565,35.7,33.82,30.805,28.94,29.76,27.794999999999998,26.38123296422487,23.45153895547945,408,MADHYA PRADESH,DHAR,172.32,7.885714285714284,33.175000000000004,73.84166666666665
104,JHABUA,23.285000000000004,26.435000000000002,29.29,35.64,36.0,34.945,29.93580398812049,29.145,29.37,27.385,26.46,22.435,413,MADHYA PRADESH,JHABUA,156.86,8.528571428571428,29.45,67.73333333333333
105,SEHORE,21.395,24.465,30.549999999999997,33.52588210347753,36.06,34.33,29.32,27.33,29.295,26.284999999999997,25.490000000000002,22.27,421,MADHYA PRADESH,SEHORE,220.2,11.157142857142858,34.375,96.05
106,RAISEN,20.96,26.060000000000002,27.68,35.915,38.325,35.535,29.589999999999996,29.04,28.64,28.380000000000003,24.515,22.425,418,MADHYA PRADESH,RAISEN,229.54,11.328571428571433,35.875,100.04166666666669
107,VIDISHA,19.325,24.759999999999998,28.455,36.120000000000005,36.41687154402382,33.96,30.897079796264855,28.744999999999997,28.915,28.634999999999998,24.055,20.92894804088586,404,MADHYA PRADESH,VIDISHA,205.8,10.771428571428572,30.3,90.4
108,BETUL,22.799999999999997,26.549999999999997,28.68,31.39050485847064,34.32,32.71,28.86,28.3,29.225042535091454,27.97981063829787,22.36,21.61,403,MADHYA PRADESH,BETUL,193.58,14.842857142857143,39.65,85.73333333333333
109,RAJGARH,20.68,23.435431914893616,30.134999999999998,34.555,37.545,37.085,29.85,30.560000000000002,30.631692307692308,26.765,24.837847667950363,21.765,419,MADHYA PRADESH,RAJGARH,183.44,10.12857142857143,26.6,80.55833333333334
110,SHAJAPUR,20.92,26.66,27.810000000000002,35.845,35.82,33.425,28.355,28.78,28.28,26.875,26.615000000000002,22.235,422,MADHYA PRADESH,SHAJAPUR,180.62000000000003,9.8,27.0,79.11666666666666
111,HOSHANGABAD,20.895,24.709999999999997,30.24,35.895,38.565,35.165,30.342079796264855,28.895,30.395000000000003,27.965000000000003,23.365000000000002,21.59,411,MADHYA PRADESH,HOSHANGABAD,265.30000000000007,13.57142857142857,40.175,116.0166666666667
112,THANE,26.265,27.125,30.41,33.69050485847064,33.41,30.835,30.620803988120493,30.270000000000003,30.455,30.36,26.982847667950363,27.87,485,MAHARASHTRA,THANE,502.56,14.271428571428572,112.825,211.8416666666667
113,RATNAGIRI,26.03,27.475,29.205,32.35,31.279999999999998,29.450000000000003,29.240000000000002,29.30360331632653,28.259999999999998,30.04,27.34784766795036,28.375,484,MAHARASHTRA,RATNAGIRI,680.92,25.342857142857135,216.3,289.21666666666664
114,DHULE,21.31726924712888,26.990000000000002,29.285,35.364999999999995,36.275,31.93,29.61,28.225,29.619999999999997,29.839999999999996,26.985,25.040000000000003,491,MAHARASHTRA,DHULE,113.4,10.485714285714286,33.15,50.6
